,URN,Postcode,YEAR,Grades_scaled
531,101930,UB13HZ,2016,0.828702942006772
532,101932,W38EY,2016,-0.10001172260786123
534,101946,W52JL,2016,-0.5063243883767633
536,142727,EN40BL,2016,2.244992805544088
539,136327,EN11YQ,2016,1.9779873394673804
542,135958,EN34PX,2016,0.5500885426223822
543,102067,N99TU,2016,-2.2824911844522493
544,102056,N147HY,2016,-2.2708822511445663
546,134311,EN37XH,2016,0.7648538088145159
548,143197,N99JZ,2016,0.7300270088914671
552,102048,EN26QG,2016,0.6429600090838452
553,102049,EN13HQ,2016,2.2972330054286605
554,102050,EN36TW,2016,0.32371434312256503
555,102053,N135TY,2016,0.43399920954555304
557,102065,EN65QT,2016,0.5500885426223822
558,102052,EN13PU,2016,0.31210540981488233
559,141247,N111BA,2016,0.7590493421606743
560,102061,N213LJ,2016,-0.053575989377129735
561,102045,N213HS,2016,0.42239027623786995
562,137094,EN26LN,2016,0.2598652099303093
567,102157,N156EB,2016,0.9564012083912843
568,141859,N170SL,2016,0.5733064092377479
569,102163,N64AY,2016,-1.7949159855295669
570,139362,N225HN,2016,0.31210540981488233
572,102154,N88RN,2016,0.16118927681500436
573,102175,N101NJ,2016,-2.2708822511445663
574,139616,N227ST,2016,0.08573121031506559
575,102153,N89JF,2016,0.3991724096225042
576,133386,N87NU,2016,0.28308307654567505
578,102162,N65HF,2016,0.17860267677652858
584,137531,N112AZ,2016,-0.4308663218768245
585,137745,N225QJ,2016,0.016077610468967926
587,131757,N153QR,2016,0.4688260094686015
588,137075,HA71PL,2016,-0.9242459874533482
589,137028,HA55RP,2016,0.8519208086221377
590,137177,HA12JG,2016,-0.0651849226848124
591,137199,HA86AN,2016,-2.253468851183042
592,134891,HA27JP,2016,0.5965242758531137
593,102260,HA36LE,2016,0.10314461027658979
594,102243,HA37AY,2016,0.8925520751990281
596,102257,HA87RJ,2016,1.066686074814272
598,138458,HA35DY,2016,0.18440714343037012
599,137178,HA73JW,2016,0.19021161008421167
600,102247,HA20HN,2016,0.6487644757376867
602,102239,HA20AD,2016,0.06251334369969942
606,137198,HA29AH,2016,-0.1290340558770685
607,135687,HA12BW,2016,0.19601607673805319
608,137204,HA36NR,2016,0.016077610468967926
609,102245,HA13HP,2016,-0.4947154550690804
610,137396,RM30TS,2016,0.6661778756992114
611,137197,RM141SF,2016,0.16118927681500436
612,139307,RM14YY,2016,-0.47730205510755597
614,136600,RM143HS,2016,0.37015007635329694
615,137233,RM142QR,2016,2.0650543392750023
616,137189,RM124AJ,2016,1.9721828728135393
617,143428,RM139XD,2016,2.424931271813173
620,136576,RM137BB,2016,-1.8935919186448715
623,102344,RM143UX,2016,0.12636247689195554
625,136090,RM39XR,2016,0.056708877045858294
626,138326,RM12RR,2016,0.3063009431610408
627,137145,RM79NX,2016,0.45141260950707723
628,136663,RM124YB,2016,0.5849153425454306
629,102343,RM26HJ,2016,0.5210662093531749
631,137414,RM113AD,2016,0.7416359421991502
632,102341,RM126RT,2016,0.04509994373817521
634,137040,RM113BX,2016,0.8112895420452478
636,140748,HA40BY,2016,0.20182054339189473
637,137407,HA48EE,2016,0.050904410392016756
638,102449,UB100EX,2016,-0.018749189454080904
639,137077,UB32SE,2016,0.34112774308408966
640,136519,HA52LX,2016,0.677786809006894
642,137633,UB83RF,2016,-0.04196705606944665
643,137635,UB108AB,2016,0.637155542430004
644,137844,UB49LE,2016,0.23084287666110204
645,136711,HA40LS,2016,-2.2302509845676766
646,138368,UB32SE,2016,-2.0619214516062736
650,102451,UB31PB,2016,-2.218642051259993
652,102452,HA62YE,2016,-0.0651849226848124
653,140941,HA61QG,2016,0.25406074327646777
655,102453,HA63AS,2016,0.8635297419298208
656,141035,UB48JP,2016,0.2598652099303093
657,141382,UB78AB,2016,-2.038703584990908
658,135004,UB96ET,2016,-2.2476643845292004
659,136329,UB40LT,2016,-2.3115135177214565
660,134797,UB83GA,2016,0.06251334369969942
661,137925,UB108QY,2016,0.25406074327646777
663,136631,UB100EJ,2016,0.7590493421606743
664,136768,UB82PR,2016,-0.41345292191529986
665,131940,UB83HD,2016,0.828702942006772
666,137829,HA61QN,2016,0.29469200985335775
667,140066,TW80EX,2016,0.3063009431610408
668,136522,TW59PD,2016,0.2250384100072605
669,102554,TW149QZ,2016,0.48623940943012606
670,137940,TW75LJ,2016,0.021882077122809467
671,137995,TW33EJ,2016,-1.3305586532222502
673,136740,W106TH,2016,1.8502890730828683
674,130447,TW74HS,2016,0.2772786098918335
676,102545,TW89LB,2016,0.7474404088529917
