,URN,Absence,YEAR,Postcode
2162,102782,3.9,2017,E61DG
2163,102783,6.0,2017,E138SJ
2164,102784,5.4,2017,E164NP
2165,102785,3.6,2017,E154LP
2166,131929,5.8,2017,E163HS
2167,132058,4.2,2017,E65JG
2168,102786,3.5,2017,E78HU
2169,102787,2.6,2017,E79QD
2170,136978,5.4,2017,E79PR
2172,102793,22.3,2017,E139HN
2224,137692,5.9,2017,IG63TN
2225,138518,3.9,2017,IG11FY
2227,102849,6.7,2017,IG50QW
2228,102850,3.8,2017,IG62JB
2229,102851,5.2,2017,E112JZ
2230,102852,3.9,2017,IG89LA
2231,140475,4.8,2017,IG12UT
2232,102854,4.9,2017,IG87DQ
2233,140575,4.7,2017,IG45LP
2234,102856,4.4,2017,IG27BT
2235,102857,4.0,2017,IG26HX
2236,102858,6.5,2017,RM81XE
2237,133405,5.4,2017,IG27PQ
2238,102860,3.8,2017,IG80TP
2239,102861,5.5,2017,IG63HB
2240,137418,5.2,2017,IG14JU
2241,137088,4.4,2017,IG38EU
2242,136267,4.1,2017,RM64RS
2243,102878,9.9,2017,RM65RX
2292,139121,4.4,2017,TW14LT
2294,143419,6.8,2017,TW123HB
2295,143420,7.8,2017,TW26JW
2296,138825,4.7,2017,TW107HN
2297,138651,4.1,2017,TW13BB
2298,138460,4.6,2017,TW119PJ
2299,138461,3.2,2017,TW25LH
2300,102929,5.0,2017,TW106HW
2301,136208,5.5,2017,SW148RG
2302,102952,8.8,2017,TW123DH
2341,136799,4.8,2017,SM51RW
2342,136797,4.8,2017,SM52QX
2343,136800,4.8,2017,SM13DY
2344,136914,4.6,2017,SM39PS
2345,103003,5.7,2017,SM54NS
2346,136756,6.1,2017,SM26TQ
2350,136621,2.8,2017,SM69JW
2351,136795,4.5,2017,SM38AB
2352,103009,4.7,2017,CR83YP
2353,136785,4.8,2017,SM38PW
2354,136787,2.8,2017,SM14AS
2355,136789,3.9,2017,SM60PH
2356,103013,3.6,2017,SM53PS
2357,136798,4.1,2017,SM67PH
2358,139722,6.1,2017,SM67NH
2360,137507,26.2,2017,SM51LW
2413,103080,5.0,2017,E113NN
2414,138859,7.9,2017,E48SG
2415,140957,3.7,2017,E175SD
2416,103094,6.0,2017,E174EY
2417,139293,4.4,2017,E114AB
2418,103096,5.1,2017,E105DN
2419,103097,6.4,2017,E46ES
2420,143385,6.1,2017,E106JZ
2421,103100,5.7,2017,E176ND
2422,103101,5.5,2017,E111JD
2423,103103,5.1,2017,E179RZ
2424,103105,6.9,2017,E178DN
2425,133287,7.2,2017,E107LX
2426,103106,5.1,2017,E173EA
2428,137558,4.9,2017,E49PJ
2429,138691,6.1,2017,E47LT
2430,140795,9.4,2017,E174AZ
2431,132727,5.3,2017,E175DP
2433,140197,8.6,2017,E49PP
2434,131697,27.1,2017,E106DB
2547,143413,4.6,2017,B248RE
2554,103258,5.8,2017,B109BT
2733,136944,5.1,2017,B47QD
2734,137578,6.3,2017,B389DE
2735,138200,4.8,2017,B31SJ
2736,138222,6.3,2017,B74AG
2737,138586,4.7,2017,B192LF
2738,139047,4.6,2017,B321RJ
2739,139048,8.3,2017,B357NL
2740,142219,4.9,2017,B95QA
2741,139788,3.7,2017,B95SX
2742,139797,4.6,2017,B152EF
2743,137346,5.5,2017,B323AE
2744,140014,5.8,2017,B112QG
2745,140863,5.1,2017,B296QU
2746,103483,4.2,2017,B368EY
2748,141318,5.9,2017,B301SH
2749,141668,6.3,2017,B95RX
2752,141969,1.5,2017,B422SY
2753,142388,7.2,2017,B262HX
2754,144306,10.3,2017,B339UF
2755,139157,7.1,2017,B178BJ
2756,136592,3.8,2017,B178QB
2757,103486,5.6,2017,B130QP
2758,139888,7.3,2017,B82AS
2759,136589,6.1,2017,B323QJ
2760,138141,2.9,2017,B422PY
2761,103493,5.7,2017,B94TR
2762,103494,5.8,2017,B301UL
2763,103497,3.7,2017,B138QB
2764,103498,6.1,2017,B297PH
2765,103499,5.8,2017,B314BP
2766,103500,5.5,2017,B314BS
2767,103501,4.4,2017,B130SF
2768,103503,4.1,2017,B368HB
2769,138137,5.1,2017,B237JH
2770,138937,6.0,2017,B202HL
2771,136882,6.0,2017,B64PZ
2772,103509,5.2,2017,B192EP
2773,139841,5.4,2017,B203DP
2774,103514,5.2,2017,B130TW
2775,139746,5.7,2017,B201HL
2776,137034,5.3,2017,B210HN
2777,103518,8.5,2017,B339UF
2778,103519,6.1,2017,B139UU
2779,139994,5.1,2017,B113EY
2780,136778,3.5,2017,B735PT
2781,103522,7.3,2017,B757DY
2782,138136,4.5,2017,B744RZ
2783,138059,5.7,2017,B83HG
2784,137053,3.9,2017,B721RB
2785,103529,5.9,2017,B450EU
2786,133306,6.3,2017,B94US
2787,103531,4.1,2017,B169SL
2788,141835,5.8,2017,B388AP
2789,103534,5.0,2017,B218HH
2790,137988,5.0,2017,B742NH
2791,140524,4.1,2017,B761QT
2792,103537,6.4,2017,B235XA
2793,103538,6.5,2017,B100AX
2794,103539,4.7,2017,B449SR
2795,103541,5.4,2017,B277XY
2800,139738,19.1,2017,B145TL
2801,103548,6.5,2017,B109RX
2802,103549,4.1,2017,B219ET
2803,103550,7.6,2017,B448NU
2804,137047,3.9,2017,B219AR
2805,137046,4.4,2017,B324BT
2806,137044,4.5,2017,B147QJ
2807,137045,4.1,2017,B147QJ
2808,137043,4.0,2017,B66DJ
2809,137858,5.9,2017,B280AA
2810,136908,4.9,2017,B757JT
2811,136406,5.3,2017,B277QG
2812,138695,5.8,2017,B169GD
2813,103560,5.5,2017,B147EG
2814,136590,4.0,2017,B301HW
2815,103562,4.0,2017,B301DY
2816,103563,6.3,2017,B459NY
2818,135907,4.8,2017,B74QR
2819,136152,6.0,2017,B262RZ
2820,135911,7.2,2017,B294HE
2821,135970,4.8,2017,B120YH
2822,136032,6.3,2017,B440HF
2823,136213,6.4,2017,B153JL
2824,144336,8.6,2017,B330DL
2828,141252,8.5,2017,B120TP
2829,103605,3.7,2017,B138QG
2830,103606,7.6,2017,B179TS
2831,103609,26.8,2017,B601QD
2832,103610,7.7,2017,B330DL
2833,103611,6.6,2017,B368AF
2834,138281,13.8,2017,B237AT
2835,103613,9.2,2017,B296HZ
2836,103614,14.3,2017,B422PY
2838,103616,7.8,2017,B248BL
2841,103619,13.0,2017,B192EP
2848,103628,10.7,2017,B449SP
2850,103632,26.4,2017,B303QA
2938,142339,7.2,2017,CV14BU
2939,140366,6.8,2017,CV32QD
2940,140958,3.0,2017,CV14FS
2941,140961,7.0,2017,CV48DY
2943,103728,5.8,2017,CV24JW
2945,141992,7.0,2017,CV22AJ
2946,138023,6.1,2017,CV62AJ
2947,137165,6.1,2017,CV57FF
2948,139292,4.4,2017,CV25BD
2949,103732,6.5,2017,CV66BB
2950,142960,5.1,2017,CV23JS
2951,137209,5.3,2017,CV49PW
2952,140248,5.8,2017,CV64GL
2953,136963,4.2,2017,CV36EA
2954,137225,6.2,2017,CV48DY
2955,136840,5.3,2017,CV34BD
2956,103742,4.1,2017,CV36BH
2957,103743,4.8,2017,CV62FR
2958,137272,4.0,2017,CV12BA
2959,135335,6.7,2017,CV22RH
2960,136126,4.4,2017,CV15LY
2962,141376,8.9,2017,CV32QD
2966,131574,18.3,2017,CV47AB
2967,134533,10.3,2017,CV78AZ
3047,141325,6.0,2017,DY68QG
3048,103853,7.1,2017,DY52NU
3049,103854,4.0,2017,DY69XE
3050,103855,4.8,2017,DY31SN
3052,103858,5.0,2017,DY85SP
3053,103859,6.2,2017,DY97HS
3054,137812,5.2,2017,B633SL
3055,103861,6.7,2017,B628PJ
3057,139872,4.3,2017,DY81JX
3058,141712,5.7,2017,DY83NQ
3059,103867,6.5,2017,DY13JE
3060,140126,4.4,2017,DY13BY
3062,103870,5.8,2017,DY81QX
3063,141570,6.1,2017,DY32JH
3064,137773,5.0,2017,DY67AD
3065,137705,5.2,2017,DY31BP
3066,136618,5.6,2017,B634BB
3067,137390,7.5,2017,DY12DU
3068,103877,8.7,2017,DY12DU
3069,103878,4.6,2017,DY68QN
3072,103881,6.3,2017,B629DR
3073,103882,14.8,2017,WV148XJ
3169,137673,3.8,2017,B646QU
3170,139328,9.7,2017,DY47NR
3171,139918,6.4,2017,WS100DR
3173,141813,7.2,2017,B708DJ
3174,136616,5.1,2017,WS109QU
3175,136091,5.0,2017,B712BX
3176,137701,5.7,2017,B688NE
3177,104012,4.1,2017,B680RG
3178,139043,4.9,2017,B689PA
3179,104018,5.8,2017,B677JG
3180,104019,5.1,2017,B659AN
3181,104020,5.5,2017,WS109QS
3182,134993,3.5,2017,B714LG
3183,135170,5.4,2017,B664ND
3184,135234,5.6,2017,B709UW
3185,135449,4.2,2017,B437SD
3186,135599,5.2,2017,DY40BZ
3187,135979,2.7,2017,B692HE
3188,104024,22.4,2017,WS140LB
3191,132233,8.5,2017,B659AN
3251,142075,5.7,2017,B928EJ
3252,142900,7.3,2017,B375FD
3253,137007,5.3,2017,B927ER
3254,136310,3.7,2017,B913PD
3255,136994,6.3,2017,B911SN
3256,136333,4.1,2017,B930PT
3257,137231,5.4,2017,B902PZ
3258,137008,6.0,2017,B912HW
3259,136909,5.8,2017,CV77FW
3260,104118,6.9,2017,B360UE
3261,143895,11.3,2017,B360UE
3262,104119,4.7,2017,B913NZ
3263,136347,6.6,2017,B375GA
3265,129342,5.4,2017,B375JS
3266,135971,5.6,2017,B369HF
3267,135684,7.3,2017,B376NU
3268,104130,5.6,2017,B902AZ
3270,141171,13.2,2017,B369LF
3271,104132,7.5,2017,B360UE
3354,137274,7.6,2017,WS27NR
3355,137706,10.9,2017,WV124BD
3356,138374,5.4,2017,WS29UA
3357,138606,5.9,2017,WS12ND
3358,139789,11.5,2017,WS11RL
3359,137830,5.1,2017,WS54PG
3360,104248,5.4,2017,WS87QG
3361,142594,5.9,2017,WV124QZ
3362,104255,4.7,2017,WS90RN
3367,137707,4.9,2017,B742EX
3368,104259,5.0,2017,WV147BL
3369,136620,5.6,2017,WS99PA
3370,136777,4.4,2017,WS42AE
3371,136773,3.5,2017,WS12PG
3372,137974,5.3,2017,WS90BG
3373,136885,4.2,2017,WS90RF
3374,133697,3.4,2017,WS33LX
3375,135769,5.4,2017,WS41BW
3376,135956,5.0,2017,WS108QJ
3377,104269,6.5,2017,WS32ED
3378,104271,8.9,2017,WS20JH
3383,135461,13.7,2017,WS41EG
3459,138098,4.6,2017,WV146LU
3460,141245,6.4,2017,WV113ES
